diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
T857,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
J301,J00-J99,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J30-J39,Other diseases of upper respiratory tract
F402,F00-F99,Mental and behavioural disorders,F40-F48,"Neurotic, stress-related and somatoform disorders",F40-F48,"Neurotic, stress-related and somatoform disorders"
Z713,Z00-Z99,Factors influencing health status and contact with health services,Z70-Z76,Persons encountering health services in other circumstances,Z70-Z76,Persons encountering health services in other circumstances
Z962,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q532,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
R945,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
Q622,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
I719,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
D489,C00-D48,Neoplasms,D37-D48,Neoplasms of uncertain or unknown behaviour,D37-D48,Neoplasms of uncertain or unknown behaviour
I726,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
G801,G00-G99,Diseases of the nervous system,G80-G83,Cerebral palsy and other paralytic syndromes,G80-G83,Cerebral palsy and other paralytic syndromes
R031,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Q921,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
L732,L00-L99,Diseases of the skin and subcutaneous tissue,L60-L75,Disorders of skin appendages,L60-L75,Disorders of skin appendages
K088,K00-K93,Diseases of the digestive system,K00-K14,"Diseases of oral cavity, salivary glands and jaws",K00-K14,"Diseases of oral cavity, salivary glands and jaws"
L309,L00-L99,Diseases of the skin and subcutaneous tissue,L20-L30,Dermatitis and eczema,L20-L30,Dermatitis and eczema
Z930,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
B962,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
F88,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
J00,J00-J99,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J00-J06,Acute upper respiratory infections
Z616,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
D573,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D55-D59,Haemolytic anaemias
Q878,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
Q899,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
D171,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
R628,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
R11,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
U820,U00-U85,Codes for special purposes,U82-U85,Resistance to antimicrobial and antineoplastic drugs,U82-U85,Resistance to antimicrobial and antineoplastic drugs
R490,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R47-R49,Symptoms and signs involving speech and voice,R47-R49,Symptoms and signs involving speech and voice
H903,H60-H95,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H90-H95,Other disorders of ear
M314,M00-M99,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30-M36,Systemic connective tissue disorders
Z841,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
L603,L00-L99,Diseases of the skin and subcutaneous tissue,L60-L75,Disorders of skin appendages,L60-L75,Disorders of skin appendages
M419,M00-M99,Diseases of the musculoskeletal system and connective tissue,M40-M54,Dorsopathies,M40-M43,Deforming dorsopathies
R845,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
M2170,M00-M99,Diseases of the musculoskeletal system and connective tissue,M00-M25,Arthropathies,M20-M25,Other joint disorders
F82,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
G409,G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40-G47,Episodic and paroxysmal disorders
T856,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
N057,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
J981,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
T855,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
P073,P00-P96,Certain conditions originating in the perinatal period,P05-P08,Disorders related to length of gestation and fetal growth,P05-P08,Disorders related to length of gestation and fetal growth
I313,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
J988,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
Q221,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
N323,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
E149,E00-E90,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E10-E14,Diabetes mellitus
Q134,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
E031,E00-E90,"Endocrine, nutritional and metabolic diseases",E00-E07,Disorders of thyroid gland,E00-E07,Disorders of thyroid gland
Z942,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
L259,L00-L99,Diseases of the skin and subcutaneous tissue,L20-L30,Dermatitis and eczema,L20-L30,Dermatitis and eczema
M329,M00-M99,Diseases of the musculoskeletal system and connective tissue,M30-M36,Systemic connective tissue disorders,M30-M36,Systemic connective tissue disorders
H521,H00-H59,Diseases of the eye and adnexa,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction"
N182,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
T869,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
A099,A00-B99,Certain infectious and parasitic diseases,A00-A09,Intestinal infectious diseases,A00-A09,Intestinal infectious diseases
D71,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D70-D77,Other diseases of blood and blood-forming organs,D70-D77,Other diseases of blood and blood-forming organs
I829,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
Z625,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
I351,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
N289,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
Z505,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
Q763,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
Z840,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
B961,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
J348,J00-J99,Diseases of the respiratory system,J30-J39,Other diseases of upper respiratory tract,J30-J39,Other diseases of upper respiratory tract
I720,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
H905,H60-H95,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H90-H95,Other disorders of ear
I518,I00-I99,Diseases of the circulatory system,I30-I52,Other forms of heart disease,I30-I52,Other forms of heart disease
N032,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
L299,L00-L99,Diseases of the skin and subcutaneous tissue,L20-L30,Dermatitis and eczema,L20-L30,Dermatitis and eczema
J039,J00-J99,Diseases of the respiratory system,J00-J06,Acute upper respiratory infections,J00-J06,Acute upper respiratory infections
N028,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
E877,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
K861,K00-K93,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K80-K87,"Disorders of gallbladder, biliary tract and pancreas"
R740,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
R798,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
Z826,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
C774,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C76-C80,"Malignant neoplasms of ill-defined,  secondary and unspecified sites"
M908,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M86-M90,Other osteopathies
E211,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
I712,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
E669,E00-E90,"Endocrine, nutritional and metabolic diseases",E65-E68,Obesity and other hyperalimentation,E65-E68,Obesity and other hyperalimentation
L988,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
Q256,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
U821,U00-U85,Codes for special purposes,U82-U85,Resistance to antimicrobial and antineoplastic drugs,U82-U85,Resistance to antimicrobial and antineoplastic drugs
C492,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue
D682,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions",D65-D69,"Coagulation defects, purpura and other haemorrhagic conditions"
H024,H00-H59,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H00-H06,"Disorders of eyelid, lacrimal system and orbit"
N251,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
N298,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
Z452,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
K638,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
C910,C00-D48,Neoplasms,C00-C97,Malignant neoplasms,C81-C96,"Malignant neoplasms, stated or presumed to be primary, of lymphoid, haematopoietic and related tissue"
Z941,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
B957,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
Z873,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
E871,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Q433,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
R768,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R70-R79,"Abnormal findings on examination of blood, without diagnosis",R70-R79,"Abnormal findings on examination of blood, without diagnosis"
I771,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
K259,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20-K31,"Diseases of oesophagus, stomach and duodenum"
R42,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
R454,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour"
A499,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30-A49,Other bacterial diseases
Z221,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
B270,A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B25-B34,Other viral diseases
Z238,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
R001,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Z488,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
Y405,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
Z908,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
N055,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
Z292,Z00-Z99,Factors influencing health status and contact with health services,Z20-Z29,Persons with potential health hazards related to communicable diseases,Z20-Z29,Persons with potential health hazards related to communicable diseases
I675,I00-I99,Diseases of the circulatory system,I60-I69,Cerebrovascular diseases,I60-I69,Cerebrovascular diseases
E872,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
H535,H00-H59,Diseases of the eye and adnexa,H53-H54,Visual disturbances and blindness,H53-H54,Visual disturbances and blindness
L853,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
Z115,Z00-Z99,Factors influencing health status and contact with health services,Z00-Z13,Persons encountering health services for examination and investigation,Z00-Z13,Persons encountering health services for examination and investigation
Z924,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
D177,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
E550,E00-E90,"Endocrine, nutritional and metabolic diseases",E50-E64,Other nutritional deficiencies,E50-E64,Other nutritional deficiencies
Z968,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z530,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
I714,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
H472,H00-H59,Diseases of the eye and adnexa,H46-H48,Disorders of optic nerve and visual pathways,H46-H48,Disorders of optic nerve and visual pathways
Z504,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
M858,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M80-M85,Disorders of bone density and structure
K528,K00-K93,Diseases of the digestive system,K50-K52,Noninfective enteritis and colitis,K50-K52,Noninfective enteritis and colitis
Q638,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
N209,N00-N99,Diseases of the genitourinary system,N20-N23,Urolithiasis,N20-N23,Urolithiasis
D899,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
A689,A00-B99,Certain infectious and parasitic diseases,A65-A69,Other spirochaetal diseases,A65-A69,Other spirochaetal diseases
Y841,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
B181,A00-B99,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,B15-B19,Viral hepatitis
Q112,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
R651,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
E876,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
Q528,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
E833,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
D561,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D55-D59,Haemolytic anaemias,D55-D59,Haemolytic anaemias
Wrc,V01-Y98,External causes of morbidity and mortality,V01-X59,Accidents,,
Z949,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z379,Z00-Z99,Factors influencing health status and contact with health services,Z30-Z39,Persons encountering health services in circumstances related to reproduction,Z30-Z39,Persons encountering health services in circumstances related to reproduction
M674,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M65-M68,Disorders of synovium and tendon
Z458,Z00-Z99,Factors influencing health status and contact with health services,Z40-Z54,Persons encountering health services for specific procedures and health care,Z40-Z54,Persons encountering health services for specific procedures and health care
Z835,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
T884,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
Z824,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Q631,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
I728,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
Z870,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
N19,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
R161,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
E300,E00-E90,"Endocrine, nutritional and metabolic diseases",E20-E35,Disorders of other endocrine glands,E20-E35,Disorders of other endocrine glands
R17,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R10-R19,Symptoms and signs involving the digestive system and abdomen,R10-R19,Symptoms and signs involving the digestive system and abdomen
L810,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
K859,K00-K93,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K80-K87,"Disorders of gallbladder, biliary tract and pancreas"
T827,S00-T98,"Injury, poisoning and certain other consequences of external causes",T80-T88,"Complications of surgical and medical care, not elsewhere classified",T80-T88,"Complications of surgical and medical care, not elsewhere classified"
Y833,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure"
K429,K00-K93,Diseases of the digestive system,K40-K46,Hernia,K40-K46,Hernia
H910,H60-H95,Diseases of the ear and mastoid process,H90-H95,Other disorders of ear,H90-H95,Other disorders of ear
R631,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R50-R69,General symptoms and signs,R50-R69,General symptoms and signs
R060,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
Q870,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
R80,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R80-R82,"Abnormal findings on examination of urine, without diagnosis",R80-R82,"Abnormal findings on examination of urine, without diagnosis"
B259,A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B25-B34,Other viral diseases
Q232,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
N043,N00-N99,Diseases of the genitourinary system,N00-N08,Glomerular diseases,N00-N08,Glomerular diseases
Q612,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
R33,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
Q611,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q60-Q64,Congenital malformations of the urinary system,Q60-Q64,Congenital malformations of the urinary system
D801,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
D649,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D60-D64,Aplastic and other anaemias,D60-D64,Aplastic and other anaemias
G401,G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40-G47,Episodic and paroxysmal disorders
Q148,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q10-Q18,"Congenital malformations of eye, ear, face and neck",Q10-Q18,"Congenital malformations of eye, ear, face and neck"
N764,N00-N99,Diseases of the genitourinary system,N70-N77,Inflammatory diseases of female pelvic organs,N70-N77,Inflammatory diseases of female pelvic organs
N394,N00-N99,Diseases of the genitourinary system,N30-N39,Other diseases of urinary system,N30-N39,Other diseases of urinary system
B968,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
Q794,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system
Q430,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q38-Q45,Other congenital malformations of the digestive system,Q38-Q45,Other congenital malformations of the digestive system
